,Country,Area,Capital,Population,UN continental,UN statistical
147,Vanuatu,9.408289184655837,Port Vila,10.545341438708522,Oceania,Melanesia
148,Qatar,9.35755275165657,Doha,14.187074114396758,Asia,Western Asia
149,Jamaica,9.3048320350689,Kingston,13.460353033590499,Americas,Caribbean
150,Lebanon,9.254548626640503,Beirut,14.269376548132215,Asia,Western Asia
151,Cyprus,9.132486932771318,Nicosia (south),12.506177237980511,Europe,Southern Europe
152,Brunei,8.65956043270316,Bandar Seri Begawan,10.24476963186738,Asia,South-Eastern Asia
153,Trinidad and Tobago,8.542860938164814,Port of Spain,10.829312687193204,Americas,Caribbean
154,Samoa,7.952263308657046,Apia,10.59194877110536,Oceania,Polynesia
155,Luxembourg,7.857867559331803,Luxembourg,11.243999721000892,Europe,Western Europe
156,Mauritius,7.620705086838262,Port Louis,11.89989389266225,Africa,Eastern Africa
157,Comoros,7.529406457837013,Moroni,11.005427631296913,Africa,Eastern Africa
158,Kiribati,6.698268054115413,Tarawa,10.308952660644293,Oceania,Micronesia
159,Bahrain,6.639875833826536,Manama,11.853788049892735,Asia,Western Asia
160,Dominica,6.621405651764134,Roseau,9.605553103619997,Americas,Caribbean
161,Tonga,6.616065185132817,Nuku?alofa,10.01681623784313,Oceania,Polynesia
162,Singapore,6.577861357721047,Singapore,15.526602124124874,Asia,South-Eastern Asia
163,Saint Lucia,6.423246963533519,Castries,11.156250521031495,Americas,Caribbean
164,Andorra,6.148468295917647,Andorra la Vella,10.03819325538842,Europe,Southern Europe
165,Palau,6.129050210060545,Ngerulmud,5.968707559985366,Oceania,Micronesia
166,Seychelles,6.113682179832232,Victoria,10.285274533289716,Africa,Eastern Africa
167,Antigua and Barbuda,6.091309882077698,St. John's,10.029194665158862,Americas,Caribbean
168,Barbados,6.063785208687608,Bridgetown,11.608235644774552,Americas,Caribbean
169,Saint Vincent and the Grenadines,5.963579343618446,Kingstown,10.597134608137724,Americas,Caribbean
170,Grenada,5.840641657373398,St. George's,8.922658299524402,Americas,Caribbean
171,Malta,5.755742213586912,Valletta,8.770904744296866,Europe,Southern Europe
172,Maldives,5.703782474656201,Mal?,11.549189889528428,Asia,Southern Asia
173,Saint Kitts and Nevis,5.564520407322694,Basseterre,9.476006870370282,Americas,Caribbean
174,Marshall Islands,5.198497031265826,Majuro,10.142504453006628,Oceania,Micronesia
175,Liechtenstein,5.075173815233827,Vaduz,8.565602330623925,Europe,Western Europe
176,San Marino,4.110873864173311,City of San Marino,8.41027590907016,Europe,Southern Europe
177,Tuvalu,3.258096538021482,Funafuti,8.410053315858335,Oceania,Polynesia
178,Nauru,3.044522437723423,Yaren (de facto),7.003065458786462,Oceania,Micronesia
179,Monaco,0.7030975114131134,Monaco,10.490885252912465,Europe,Western Europe
180,Vatican City,-0.8209805520698302,Vatican City (City-state),6.716594773520978,Europe,Southern Europe
